web_id|media_type|total_unique_visitors_(000)|%_reach|%_composition_unique_visitors|composition_index_uv|composition_index_pv|average_daily_visitors_(000)|total_minutes_(mm)|average_minutes_per_usage_day|total_pages_viewed_(mm)|average_pages_per_usage_day|average_minutes_per_page|average_usage_days_per_visitor|average_minutes_per_visitor|average_pages_per_visitor|%_composition_pages|%_composition_minutes|total_visits_(000)|average_minutes_per_visit|average_visits_per_visitor|average_visits_per_usage_day|average_pages_per_visit|source_system
5000153|ELTRIBUNO.INFO|50.004445267|0.0199650875303619|11.3621366992482|82.1004257134441|107.584614464766|5.60346029190323|1.840448645706|10.595115885374|1.533334213157|8.82711599549971|1.2002919063005|3.47383653836145|36.8057006907861|30.6639580735217|16.7547123385379|18.9455861782464|184.49|9.97587211071603|3.68947198623864|1.06207414928594|8.31120501467288|keymeasure
3525952|NISHINIPPON.CO.JP|49.988945918|0.0199588991633518|17.860115742793|129.053464554049|98.4903566330769|2.47956130225807|0.126139936932|1.64102828186073|0.113572388649|1.47752968920509|1.11065672239967|1.53766795755383|2.52335660645686|2.27195005942514|15.3384162012092|16.2062331578559|81.968|1.53889245720281|1.63972251254222|1.06636969606282|1.38556984004734|keymeasure
7051261|VNECONOMY.VN|49.519562171|0.019771490073137|14.2694014238126|103.107713151221|108.443407111349|3.98247402590323|0.34333245157|2.78099500491128|0.509068290421|4.12345633611301|0.67443299461073|2.49308938509355|6.9332691267425|10.2801452214601|16.8884565902|14.6726214602342|150.531|2.28080894679501|3.03982897668177|1.21930204141786|3.38181697073028|keymeasure
18371994|SCDAILY.CN|49.4973265|0.0197626121200782|16.9127768872429|122.208191926702|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|keymeasure
7164238|NGZB.COM.CN|49.4472187|0.0197426057664908|9.88259789445783|71.4095874540447|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|keymeasure
7954722|NIAZEROOZ.COM|49.375130058|0.0197138232044648|9.708208231645|70.1494841886172|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|keymeasure
3651751|MZ-WEB.DE|49.259800587|0.0196677760386368|13.4360949355656|97.0864145833745|81.837085475794|3.54514718977419|0.239746613867|2.18150652812183|0.467052760213|4.24981453939201|0.513318053741216|2.23101924030125|4.86698303708259|9.48141800509559|12.7449155494285|12.9262747035647|130.684|1.83455215532889|2.6529543043763|1.18912210905813|3.57390927897065|keymeasure
5189244|THENEWS.COM.PK|49.173140905|0.0196331757520574|11.7217980527642|84.6992635040768|48.5441495936334|2.37380160687097|0.148270897686|2.01488286534779|0.210413811941|2.85935534841281|0.704663331357616|1.4965049711827|3.01528222434381|4.27903949327762|7.56003324645133|7.9629308350772|79.877|1.85624019036769|1.62440304869519|1.08546451897945|2.6342227667664|keymeasure
5773083|OLAY.COM.TR|49.1281256|0.0196152026598706|19.8974125195584|143.77454537753|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|keymeasure
7731350|Groupe La Manche Libre|49.045040566|0.0195820296096065|14.9767921895775|108.219171018023|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|keymeasure
7243657|FARARU.COM|48.828782974|0.0194956852510133|8.69611052003263|62.8362775984803|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|keymeasure
828027|MB.COM.PH|48.770542348|0.0194724317344569|17.164293289478|124.025596895855|153.937199947541|2.27349784948387|0.203088575217|2.8815705118551|0.332420612836|4.71662886234497|0.610938574128656|1.44510251354402|4.16416478963614|6.816012224429|23.9734418917839|22.8869764292265|73.064|2.77959836878627|1.49811743897895|1.03668592707995|4.54971823108508|keymeasure
6358384|LEMATINDZ.NET|48.750285383|0.0194643438119299|25.9605643209722|187.585613421998|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|keymeasure
7429268|GAZETALUBUSKA.PL|48.684971489|0.0194382661781576|13.6341658516108|98.5176336365512|154.326652725878|4.19043725025806|0.33707451502|2.59480593620354|1.25813705976|9.68516267398386|0.267915575974131|2.66824752659762|6.92358452127592|25.842411349553|24.0340934013231|23.1212228268985|175.006|1.92607404900403|3.59466165117384|1.34719946906782|7.18910814349222|keymeasure
3376327|LR-ONLINE.DE|48.5255414|0.0193746111237947|37.639873872504|271.977863893981|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|keymeasure
3419749|ILFOGLIO.IT|48.329943|0.019296515283396|23.8631289223071|172.429983482407|73.5007280855437|2.23003682190323|0.206325238661|2.98454841402663|0.179352337988|2.59437836770686|1.15039057185195|1.4303998140242|4.2690974963699|3.71099833467629|11.4466511951826|9.64730974649788|69.132|2.98451135018515|1.43041757777368|1.00001241873028|2.59434614922178|keymeasure
14127214|DIRECTMATIN.FR|48.297880106|0.0192837136518256|13.5757005724698|98.095175745577|10.6972477788594|1.6735948766129|0.112316917501|2.1648765908824|0.218788761348|4.21709105207793|0.513357801419934|1.07419706747243|2.32550408536558|4.52998684140632|1.66593811057947|1.47630931834338|52.278|2.14845475153985|1.08240775548046|1.00764355839042|4.18510198071847|keymeasure
4349314|DIARIODEAVISOS.COM|48.090949378|0.0192010931952806|25.9335799557519|187.390630037197|236.986210543463|6.37808323780645|0.852146432989|4.30985197082537|0.829220226839|4.19389941744491|1.0276479099375|4.11138858619519|17.7194762010423|17.2427501965337|36.907096852183|38.1169270885431|210.956|4.03945103713097|4.38660502087125|1.06694002011879|3.93077336903904|keymeasure
7470100|INSIDEHALTON.COM|47.9373266|0.0191397568042247|34.5422898475636|249.595368958182|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|keymeasure
